Name: CCTV1, URL: http://116.117.104.248:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 2392 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: CCTV1, URL: http://58.213.65.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 231 ms, Speed: 0.57 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://218.29.168.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 247 ms, Speed: 0.37 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://183.3.134.56:9901/tsfile/live/0001_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://play.kankanlive.com/live/1661761962676984.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 920 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://39.170.52.236:808/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 973 ms, Speed: 0.58 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://219.135.180.210:18888/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 490 ms, Speed: 0.20 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源, IPv_Type: ipv4, Date: None, Delay: 254 ms, Speed: 0.08 M/s, Resolution: None
Name: CCTV1, URL: http://121.33.239.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 877 ms, Speed: 0.13 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 1605 ms, Speed: 0.12 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://api2.52tb.xyz/info?id=2&token=20230326xflvzc$订阅源, IPv_Type: ipv4, Date: None, Delay: 929 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 575 ms, Speed: 0.71 M/s, Resolution: 426x240
Name: CCTV1, URL: http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 749 ms, Speed: 0.18 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 331 ms, Speed: 0.19 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 562 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://47.94.35.70:31420/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com$订阅源, IPv_Type: ipv4, Date: None, Delay: 263 ms, Speed: 0.63 M/s, Resolution: 720x576
Name: CCTV1, URL: http://175.11.74.88:9901/tsfile/live/0017_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 259 ms, Speed: 0.69 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://60.8.49.38:352/tsfile/live/0001_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 657 ms, Speed: 0.73 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://58.58.111.222:808/hls/101/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 321 ms, Speed: 0.39 M/s, Resolution: 1920x1080
Name: CCTV1, URL: https://hyf.serv00.net/fg/CCTV1.php$订阅源, IPv_Type: ipv4, Date: None, Delay: 611 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0#http://itv.nctv.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive#http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 269 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 509 ms, Speed: 0.15 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://1.180.2.93:9901/tsfile/live/1020_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 709 ms, Speed: 1.77 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://218.15.20.81:3388/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 459 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV1, URL: http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 228 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 864 ms, Speed: 0.08 M/s, Resolution: 720x576
Name: CCTV1, URL: http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 911 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://lt.hxtre.com:35455/itv/1000000001000021973.m3u8?cdn=ystenlive$订阅源, IPv_Type: ipv4, Date: None, Delay: 909 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://113.140.12.230:8888/newlive/live/hls/15/live.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 251 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://112.123.206.32:808/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 294 ms, Speed: 0.82 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://58.210.168.86:10800/newlive/live/hls/1/live.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 512 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV1, URL: http://58.243.224.242:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 244 ms, Speed: 0.41 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://58.243.224.244:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://110.7.131.146:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 252 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: CCTV1, URL: http://110.7.131.40:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 256 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://home.wwang.pw:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源, IPv_Type: ipv4, Date: None, Delay: 460 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://116.117.107.84:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 261 ms, Speed: 0.04 M/s, Resolution: 720x576
Name: CCTV1, URL: http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 763 ms, Speed: 0.13 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 250 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV1, URL: http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 235 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV1, URL: http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 3250 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 2737 ms, Speed: 0.06 M/s, Resolution: None
Name: CCTV1, URL: http://139.196.151.191/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2024-03-01, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://1.24.39.180:9003/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 284 ms, Speed: 0.96 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://112.81.218.254:35455/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 432 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://39.187.68.194:5027/TVOD/1000000005000265001/ystenlive/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://116.117.105.96:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 562 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV1, URL: http://121.17.146.47:50003/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 269 ms, Speed: 0.21 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://116.117.106.18:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 284 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://116.117.106.234:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 556 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV1, URL: http://219.159.40.42:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 270 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV1, URL: http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 227 ms, Speed: 2.11 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://110.7.130.58:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 262 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV1, URL: http://116.117.105.239:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 258 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV1, URL: http://121.19.134.200:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 539 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://110.7.131.129:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 287 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV1, URL: http://116.117.105.71:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 268 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV1, URL: http://118.122.189.74:9901/tsfile/live/0001_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 264 ms, Speed: 0.31 M/s, Resolution: None
Name: CCTV1, URL: http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 261 ms, Speed: 0.21 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://183.11.239.36:808/hls/19/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 1017 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://202.168.187.208:9089/tsfile/live/1003_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 251 ms, Speed: 1.39 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 445 ms, Speed: 0.14 M/s, Resolution: None
Name: CCTV1, URL: http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 262 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://211.67.191.23/hls/cctv1hd/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 2007 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://110.7.131.231:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://182.91.124.224:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 561 ms, Speed: 0.18 M/s, Resolution: 720x576
Name: CCTV1, URL: http://116.117.105.236:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV1, URL: http://3501776.xyz:35455/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 1051 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://xiaoya.crccxw.top:35455/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 344 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://121.17.146.34:50003/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 246 ms, Speed: 0.14 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://39.164.223.174:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 1292 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV1, URL: http://115.149.139.141:10000/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 3489 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://182.91.124.60:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 2976 ms, Speed: 0.14 M/s, Resolution: 720x576
Name: CCTV1, URL: http://139.196.214.238/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-01-29, Delay: 223 ms, Speed: 0.08 M/s, Resolution: None
Name: CCTV1, URL: http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 1348 ms, Speed: 0.31 M/s, Resolution: None
Name: CCTV1, URL: http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 713 ms, Speed: 0.61 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://60.172.130.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 2186 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV1, URL: http://120.192.226.35:8009/hls/501/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 464 ms, Speed: 0.18 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://58.254.14.61:808/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 258 ms, Speed: 0.34 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://ttkx.cc:1380/653哈哈/mg9.php?id=cctv1$订阅源, IPv_Type: ipv4, Date: None, Delay: 1398 ms, Speed: 1.44 M/s, Resolution: 854x480
Name: CCTV1, URL: http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?$订阅源, IPv_Type: ipv4, Date: None, Delay: 258 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV1, URL: http://116.117.104.34:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 371 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV1, URL: http://121.11.160.7:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv1/playlist.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 108 ms, Speed: 0.48 M/s, Resolution: 1280x720
Name: CCTV1, URL: http://76.5432123.xyz/%E6%9D%82%E9%A1%B9%E4%BB%A3%E7%90%86/%E5%AD%A6%E4%B9%A0%E5%BC%BA%E5%9B%BD.php?id=cctv1$订阅源, IPv_Type: ipv4, Date: None, Delay: 1128 ms, Speed: 4.08 M/s, Resolution: 720x576
Name: CCTV1, URL: http://113.102.162.133:8089/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://113.116.181.36:8089/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 232 ms, Speed: 0.19 M/s, Resolution: None
Name: CCTV1, URL: http://123.149.1.23:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 249 ms, Speed: 0.65 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://106.118.112.134:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 1286 ms, Speed: 2.24 M/s, Resolution: None
Name: CCTV1, URL: http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 2858 ms, Speed: 0.08 M/s, Resolution: 720x576
Name: CCTV1, URL: rtsp://60.13.27.115/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6009 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: rtsp://115.85.205.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6009 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: rtsp://115.153.245.70/PLTV/88888888/224/3221225517/iptv7949.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6008 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: rtsp://115.153.247.80/PLTV/88888888/224/3221225517/iptv7949.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6254 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: rtsp://115.153.230.145/PLTV/88888888/224/3221225517/iptv7949.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 7078 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: rtsp://115.153.222.112:554/PLTV/88888888/224/3221225517/iptv7949.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6083 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源, IPv_Type: ipv4, Date: None, Delay: 154 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://218.93.208.172:35455/migu/608807420.m3u8?migutoken=c1e47192e21ebd32f0cc762a6749923a27468f3c407786209ce921f54a3faab96bf61281f3baee22f2ea266b1ec7e46d7bdfab0916f461bf38474fe38d0bdb2dcc56ee56853b8d6c509d866d80$订阅源, IPv_Type: ipv4, Date: None, Delay: 591 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: rtsp://180.95.143.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6091 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://175.31.21.146:4480/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 2829 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://14.155.198.157:1212/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://112.46.85.60:8009/hls/501/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://222.219.183.103:8089/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 514 ms, Speed: 0.23 M/s, Resolution: 1920x1080
Name: CCTV1, URL: rtsp://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil$订阅源, IPv_Type: ipv4, Date: None, Delay: 6004 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://182.150.23.74:808/hls/1/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 248 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV1, URL: http://36.105.100.208:35455/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 1231 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://www.douzhicloud.site:35455/gaoma/cctv1.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 467 ms, Speed: 0.00 M/s, Resolution: None
